timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777901231.432231,-0.298310,0.106269,2.670000,373.657135,258.628571,0.608336,3.018333,0.869924,depth,1
1777901231.443360,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603512,3.041408,0.856710,depth,1
1777901231.454487,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603359,3.033729,0.856710,depth,1
1777901231.465614,-0.299074,0.107176,2.681000,373.731934,258.703949,0.602745,3.003027,0.856710,depth,1
1777901231.476742,-0.300081,0.107401,2.686000,373.659760,258.708038,0.607964,3.024339,0.868692,depth,1
1777901231.487870,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603064,3.018971,0.856710,depth,1
1777901231.498996,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603236,3.027570,0.856710,depth,1
1777901231.510125,-0.298200,0.106103,2.665000,373.584503,258.633789,0.613433,3.024615,0.882351,depth,1
1777901231.521252,-0.299539,0.106707,2.681000,373.657135,258.628571,0.608786,3.040839,0.869924,depth,1
1777901231.532379,-0.297288,0.105969,2.659000,373.623596,258.650787,0.612478,3.010398,0.880674,depth,1
1777901231.543508,-0.302667,0.107822,2.709000,373.657135,258.628571,0.608570,3.030006,0.869924,depth,1
1777901231.554635,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603891,3.060318,0.856710,depth,1
1777901231.565762,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603711,3.051333,0.856710,depth,1
1777901231.576890,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603150,3.023266,0.856710,depth,1
1777901231.588017,-0.298868,0.106468,2.675000,373.657135,258.628571,0.608372,3.020113,0.869924,depth,1
1777901231.599144,-0.300097,0.106906,2.686000,373.657135,258.628571,0.608237,3.013359,0.869924,depth,1
1777901231.610273,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603432,3.037386,0.856710,depth,1
