kind,hw_timestamp_s,host_timestamp_s,unified_time_s,x,y,z
accel,1777992391.574447,26354.544278,1777992391.574447,0.431493,-9.110377,1.274864
gyro,1777992391.572723,26354.544278,1777992391.572723,0.002129,-0.002129,-0.000532
accel,1777992391.586184,26354.555229,1777992391.586184,0.411879,-9.129991,1.255251
gyro,1777992391.582729,26354.555229,1777992391.582729,0.002129,-0.002129,0.001065
accel,1777992391.594008,26354.566334,1777992391.594008,0.411879,-9.110377,1.274864
gyro,1777992391.597736,26354.566334,1777992391.597736,0.002129,0.004793,-0.001065
accel,1777992391.605744,26354.577544,1777992391.605744,0.431493,-9.110377,1.294478
gyro,1777992391.607740,26354.577544,1777992391.607740,0.004793,0.000000,-0.004260
accel,1777992391.617480,26354.588616,1777992391.617480,0.411879,-9.110377,1.255251
gyro,1777992391.617746,26354.588616,1777992391.617746,0.000000,0.004260,-0.001065
accel,1777992391.629217,26354.599713,1777992391.629217,0.411879,-9.110377,1.294478
gyro,1777992391.627751,26354.599713,1777992391.627751,0.003728,-0.002662,-0.002129
accel,1777992391.640953,26354.610999,1777992391.640953,0.411879,-9.110377,1.255251
gyro,1777992391.637755,26354.610999,1777992391.637755,-0.000532,-0.001597,-0.000532
accel,1777992391.652688,26354.621967,1777992391.652688,0.402073,-9.149604,1.255251
gyro,1777992391.652763,26354.621967,1777992391.652763,0.004260,0.004260,-0.002129
accel,1777992391.664423,26354.633121,1777992391.664423,0.431493,-9.129991,1.235638
gyro,1777992391.662768,26354.633121,1777992391.662768,0.003196,0.005859,-0.001597
accel,1777992391.672248,26354.644459,1777992391.672248,0.411879,-9.110377,1.274864
gyro,1777992391.672773,26354.644459,1777992391.672773,0.001597,-0.001597,-0.001065
accel,1777992391.683986,26354.655363,1777992391.683986,0.411879,-9.129991,1.235638
gyro,1777992391.682779,26354.655363,1777992391.682779,0.002662,0.000532,0.004793
accel,1777992391.695760,26354.666500,1777992391.695760,0.402073,-9.090764,1.255251
gyro,1777992391.697830,26354.666500,1777992391.697830,-0.000532,0.003196,0.001065
accel,1777992391.707524,26354.677705,1777992391.707524,0.431493,-9.110377,1.274864
gyro,1777992391.707858,26354.677705,1777992391.707858,0.003196,0.000532,-0.001597
accel,1777992391.719287,26354.688748,1777992391.719287,0.411879,-9.110377,1.274864
gyro,1777992391.717886,26354.688748,1777992391.717886,-0.000532,-0.002129,-0.002129
accel,1777992391.731051,26354.699875,1777992391.731051,0.451106,-9.110377,1.274864
gyro,1777992391.727915,26354.699875,1777992391.727915,0.002662,-0.000532,0.000000
accel,1777992391.742815,26354.711162,1777992391.742815,0.402073,-9.129991,1.255251
gyro,1777992391.737943,26354.711162,1777992391.737943,-0.001065,-0.003196,0.000532
accel,1777992391.750658,26354.722115,1777992391.750658,0.431493,-9.110377,1.225831
gyro,1777992391.752987,26354.722115,1777992391.752987,0.003196,-0.003196,-0.001065
accel,1777992391.762421,26354.733263,1777992391.762421,0.431493,-9.129991,1.235638
gyro,1777992391.763015,26354.733263,1777992391.763015,0.001065,0.001065,0.002129
accel,1777992391.774186,26354.744398,1777992391.774186,0.431493,-9.110377,1.255251
gyro,1777992391.773044,26354.744398,1777992391.773044,0.003728,0.002662,0.002129
accel,1777992391.785949,26354.755520,1777992391.785949,0.411879,-9.110377,1.235638
gyro,1777992391.783073,26354.755520,1777992391.783073,0.001065,0.002662,-0.003728
accel,1777992391.797712,26354.766659,1777992391.797712,0.411879,-9.129991,1.255251
gyro,1777992391.798115,26354.766659,1777992391.798115,-0.001065,0.005325,0.001065
accel,1777992391.809475,26354.777798,1777992391.809475,0.431493,-9.129991,1.274864
gyro,1777992391.808144,26354.777798,1777992391.808144,0.003196,0.001597,0.000532
accel,1777992391.817317,26354.788901,1777992391.817317,0.411879,-9.110377,1.235638
gyro,1777992391.818174,26354.788901,1777992391.818174,-0.001065,0.000532,-0.000532
accel,1777992391.829080,26354.800027,1777992391.829080,0.431493,-9.090764,1.255251
gyro,1777992391.828202,26354.800027,1777992391.828202,0.003196,0.003728,-0.002662
accel,1777992391.840843,26354.811235,1777992391.840843,0.411879,-9.110377,1.294478
gyro,1777992391.838231,26354.811235,1777992391.838231,0.000532,0.004260,-0.004260
accel,1777992391.852607,26354.822273,1777992391.852607,0.411879,-9.090764,1.255251
gyro,1777992391.853275,26354.822273,1777992391.853275,-0.001597,0.000532,-0.002129
accel,1777992391.864369,26354.833458,1777992391.864369,0.411879,-9.110377,1.225831
gyro,1777992391.863303,26354.833458,1777992391.863303,0.000532,0.003728,-0.005325
accel,1777992391.876135,26354.844589,1777992391.876135,0.402073,-9.110377,1.235638
gyro,1777992391.873333,26354.844589,1777992391.873333,0.002129,-0.002662,-0.002662
accel,1777992391.883976,26354.855647,1777992391.883976,0.411879,-9.090764,1.235638
gyro,1777992391.883361,26354.855647,1777992391.883361,0.000532,0.003196,0.000000
accel,1777992391.895741,26354.866793,1777992391.895741,0.431493,-9.129991,1.274864
gyro,1777992391.898405,26354.866793,1777992391.898405,0.004793,0.000532,0.001597
accel,1777992391.907505,26354.877898,1777992391.907505,0.431493,-9.129991,1.235638
gyro,1777992391.908435,26354.877898,1777992391.908435,0.001065,0.000532,-0.002129
accel,1777992391.919269,26354.889063,1777992391.919269,0.431493,-9.110377,1.255251
gyro,1777992391.918463,26354.889063,1777992391.918463,0.001597,-0.000532,-0.005859
accel,1777992391.931031,26354.900208,1777992391.931031,0.431493,-9.129991,1.274864
gyro,1777992391.928493,26354.900208,1777992391.928493,0.002129,-0.001065,-0.002662
accel,1777992391.942795,26354.911282,1777992391.942795,0.411879,-9.110377,1.235638
gyro,1777992391.938523,26354.911282,1777992391.938523,0.002662,-0.002129,-0.004793
accel,1777992391.954559,26354.922400,1777992391.954559,0.411879,-9.149604,1.255251
gyro,1777992391.953566,26354.922400,1777992391.953566,0.005325,-0.001065,-0.001597
accel,1777992391.962402,26354.933606,1777992391.962402,0.411879,-9.110377,1.274864
gyro,1777992391.963596,26354.933606,1777992391.963596,0.005859,-0.002662,-0.001597
accel,1777992391.974168,26354.944655,1777992391.974168,0.431493,-9.129991,1.314091
gyro,1777992391.973626,26354.944655,1777992391.973626,0.002662,-0.002662,-0.002662
accel,1777992391.985932,26354.955799,1777992391.985932,0.411879,-9.110377,1.235638
gyro,1777992391.983654,26354.955799,1777992391.983654,0.002662,0.006391,-0.003196
accel,1777992391.997698,26354.966975,1777992391.997698,0.411879,-9.090764,1.274864
gyro,1777992391.998699,26354.966975,1777992391.998699,0.002662,-0.003728,-0.001065
accel,1777992392.009463,26354.978087,1777992392.009463,0.411879,-9.129991,1.235638
gyro,1777992392.008729,26354.978087,1777992392.008729,0.001597,-0.000532,-0.003196
accel,1777992392.021226,26354.989185,1777992392.021226,0.431493,-9.110377,1.235638
gyro,1777992392.018758,26354.989185,1777992392.018758,0.000532,-0.002129,-0.000532
accel,1777992392.029069,26355.000502,1777992392.029069,0.411879,-9.110377,1.274864
gyro,1777992392.028788,26355.000502,1777992392.028788,-0.001065,-0.002662,-0.002662
accel,1777992392.040833,26355.011461,1777992392.040833,0.431493,-9.129991,1.255251
gyro,1777992392.038817,26355.011461,1777992392.038817,0.000532,0.002662,-0.002129
accel,1777992392.052599,26355.022570,1777992392.052599,0.411879,-9.129991,1.255251
gyro,1777992392.053862,26355.022570,1777992392.053862,0.003728,0.005325,-0.003196
accel,1777992392.064364,26355.033793,1777992392.064364,0.411879,-9.129991,1.274864
